extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control,gender,age,stress,employment,exercise,household_size,friend_smokers,age_first
Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree moderately,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Yes,Male,25,Rarely,Unemployed,Every day or at least 5 times every week,8,3,19
Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,No,Male,20,Rarely,Employed,Every day or at least 5 times every week,5,4,16
Agree moderately,,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree moderately,No,Male,24,Occasionally,Employed,Often or at least 3 days every week,5,4,17
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Yes,Male,21,Constantly,Employed,Sometimes or a few days every month,6,5,13
Agree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Neither agree nor disagree,Yes,Female,25,Constantly,Unemployed,Never,6,3,14
Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Yes,Male,25,Constantly,Employed,Sometimes or a few days every month,4,0,16
Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree strongly,No,Male,28,Rarely,Employed,Often or at least 3 days every week,4,5,16
Agree moderately,Disagree moderately,Agree a little,Agree strongly,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree strongly,No,Male,19,Frequently,Unemployed,Often or at least 3 days every week,5,1,16
Agree moderately,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No,Male,30,Rarely,Employed,Every day or at least 5 times every week,4,0,16
Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Male,28,Rarely,Employed,Often or at least 3 days every week,0,4,18
Agree strongly,,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,No,Female,27,Constantly,Unemployed,Sometimes or a few days every month,3,4,23
Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree strongly,Yes,Female,25,Frequently,Employed,Sometimes or a few days every month,5,5,13
Agree a little,Disagree moderately,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Disagree moderately,Yes,Male,25,Frequently,Employed,Often or at least 3 days every week,7,2,17
Disagree a little,,Agree strongly,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,No,Female,23,Rarely,Unemployed,Never,4,4,19
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Disagree strongly,Neither agree nor disagree,Yes,Female,20,Constantly,Unemployed,Sometimes or a few days every month,5,5,18
Neither agree nor disagree,,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No,Male,25,Rarely,Unemployed,Never,6,3,17
Agree a little,Disagree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree strongly,No,Female,22,Constantly,Unemployed,Never,1,1,22
Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree a little,Yes,Male,29,Occasionally,Employed,Never,2,5,16
Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Yes,Female,30,Rarely,Unemployed,Often or at least 3 days every week,0,1,19
Agree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Disagree moderately,Yes,Male,20,Frequently,Unemployed,Never,6,3,16
Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Never,3,4,17
Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Sometimes or a few days every month,3,4,18
Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree moderately,No,Male,21,Rarely,Employed,Every day or at least 5 times every week,4,4,19
Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,Female,21,Occasionally,Employed,Never,5,1,19
